Player,Team,Position,Point,TOI,PPT
Riley Nash,CBJ,C,6,234,0.025641026
James Neal,EDM,LW,18,480,0.0375
Martin Necas,CAR,C,16,359,0.044568245
Brock Nelson,NYI,C,20,468,0.042735043
Patrik Nemeth,DET,D,4,518,0.007722008
Aaron Ness,ARI,D,1,151,0.006622517
Valeri Nichushkin,COL,RW,5,286,0.017482517
Nino Niederreiter,CAR,RW,10,415,0.024096386
Frans Nielsen,DET,C,1,355,0.002816901
Matthew Nieto,COL,LW,12,366,0.032786885
Boo Nieves,NYR,C,0,25,0
Sami Niku,WPG,D,0,17,0
Matt Niskanen,PHI,D,11,587,0.018739353
Joakim Nordstrom,BOS,C,3,212,0.014150943
Tomas Nosek,VEG,C,5,291,0.017182131
Ryan Nugent-Hopkins,EDM,C,16,482,0.033195021
Darnell Nurse,EDM,D,13,664,0.019578313
Markus Nutivaara,CBJ,D,2,151,0.013245033
Joakim Nygard,EDM,F,2,132,0.015151515
Alexander Nylander,CHI,LW,10,338,0.029585799
William Nylander,TOR,C,22,505,0.043564356
Gustav Nyquist,CBJ,RW,18,446,0.040358744
Logan O'Connor,COL,RW,1,62,0.016129032
Ryan O'Reilly,STL,C,26,598,0.043478261
Jordan Oesterle,ARI,D,5,320,0.015625
Kyle Okposo,BUF,RW,5,201,0.024875622
Jamie Oleksiak,DAL,D,4,412,0.009708738
Mathieu Olivier,NSH,F,1,53,0.018867925
Gustav Olofsson,MTL,D,0,18,0
Victor Olofsson,BUF,RW,22,501,0.043912176
Dmitry Orlov,WSH,D,10,616,0.016233766
T.J. Oshie,WSH,C,20,527,0.037950664
Alex Ovechkin,WSH,LW,31,589,0.052631579
Max Pacioretty,VEG,LW,26,524,0.049618321
Jean-Gabriel Pageau,OTT,C,20,489,0.040899796
Ondrej Palat,TBL,LW,15,402,0.037313433
Kyle Palmieri,NJD,RW,16,440,0.036363636
Artemi Panarin,NYR,LW,33,535,0.061682243
Richard Panik,WSH,RW,2,208,0.009615385
Cedric Paquette,TBL,C,8,228,0.035087719
Colton Parayko,STL,D,12,668,0.017964072
Zach Parise,MIN,LW,16,470,0.034042553
David Pastrnak,BOS,RW,42,519,0.080924855
Nick Paul,OTT,LW,9,346,0.026011561
Joe Pavelski,DAL,C,12,520,0.023076923
Tanner Pearson,VAN,LW,17,464,0.036637931
Adam Pelech,NYI,D,7,530,0.013207547
Brendan Perlini,TOT,LW,1,197,0.005076142
Brendan Perlini,DET,LW,1,189,0.005291005
Brendan Perlini,CHI,LW,0,8,0
Mathieu Perreault,WPG,C,9,374,0.024064171
David Perron,STL,LW,28,529,0.052930057
Corey Perry,DAL,RW,9,287,0.031358885
Joel Persson,EDM,D,2,157,0.012738854
Brett Pesce,CAR,D,9,578,0.015570934
Nic Petan,TOR,C,3,150,0.02
Jeff Petry,MTL,D,14,646,0.021671827
Elias Pettersson,VAN,C,31,535,0.057943925
Marcus Pettersson,PIT,D,8,518,0.015444015
Alex Pietrangelo,STL,D,20,695,0.028776978
Neal Pionk,WPG,D,13,622,0.020900322
Brandon Pirri,VEG,C,1,142,0.007042254
Tyler Pitlick,PHI,C,5,249,0.020080321
Ryan Poehling,MTL,C,0,35,0
Brayden Point,TBL,C,20,392,0.051020408
Roman Polak,DAL,D,2,151,0.013245033
Tucker Poolman,WPG,D,8,417,0.019184652
Derrick Pouliot,STL,D,0,17,0
Nikolai Prokhorkin,LAK,LW,5,118,0.042372881
Dalton Prout,SJS,D,0,26,0
Ivan Provorov,PHI,D,17,671,0.02533532
Ryan Pulock,NYI,D,12,545,0.022018349
Mark Pysyk,FLA,D,2,282,0.007092199
Alan Quine,CGY,C,1,88,0.011363636
Lukas Radil,SJS,C,0,132,0
Alexander Radulov,DAL,RW,15,487,0.030800821
Michael Raffl,PHI,LW,9,334,0.026946108
Rickard Rakell,ANA,RW,19,500,0.038
Mikko Rantanen,COL,RW,16,181,0.08839779
Victor Rask,MIN,C,4,164,0.024390244
Ryan Reaves,VEG,RW,4,264,0.015151515
Mike Reilly,MTL,D,4,161,0.02484472
Sam Reinhart,BUF,C,20,564,0.035460993
Anthony Richard,NSH,C,0,4,0
